ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
15,3,10000K,High,[0.36558261;1.0;1.0],[0.25062295;1.0;1.0]
16,3,4000K,Normal,[0.37583547;1.0;1.0],[0.27233893;1.0;1.0]
16,2,4000K,Normal,[0.02658748;1.0;1.0],[0.97403048;1.0;1.0]
16,1,4000K,Normal,[0.68555269;1.0;1.0],[0.64530369;1.0;1.0]
16,3,4000K,High,[0.36496535;1.0;1.0],[0.29784116;1.0;1.0]
16,2,4000K,High,[0.01298162;1.0;1.0],[0.98227674;1.0;1.0]
16,1,4000K,High,[0.68443463;1.0;1.0],[0.65089413;1.0;1.0]
16,1,4000K,Low,[0.69418495;1.0;1.0],[0.64809614;1.0;1.0]
16,3,4000K,Low,[0.37764143;1.0;1.0],[0.26340098;1.0;1.0]
16,2,4000K,Low,[0.00598519;1.0;1.0],[0.97634882;1.0;1.0]
16,2,7000K,Normal,[0.01517113;1.0;1.0],[0.99147356;1.0;1.0]
16,1,7000K,Normal,[0.69972782;1.0;1.0],[0.65446367;1.0;1.0]
16,3,7000K,Normal,[0.34670895;1.0;1.0],[0.25130323;1.0;1.0]
16,1,7000K,High,[0.69037073;1.0;1.0],[0.65690981;1.0;1.0]
16,3,7000K,High,[0.34724902;1.0;1.0],[0.25445451;1.0;1.0]
16,2,7000K,High,[0.02483641;1.0;1.0],[0.98168587;1.0;1.0]
16,3,7000K,Low,[0.35700338;1.0;1.0],[0.25697191;1.0;1.0]
16,2,7000K,Low,[0.00956504;1.0;1.0],[0.98996174;1.0;1.0]
16,1,7000K,Low,[0.70621715;1.0;1.0],[0.65068200;1.0;1.0]
16,1,10000K,Normal,[0.71326678;1.0;1.0],[0.64010072;1.0;1.0]
16,3,10000K,Normal,[0.34509516;1.0;1.0],[0.24891156;1.0;1.0]
16,2,10000K,Normal,[0.02148132;1.0;1.0],[0.97789626;1.0;1.0]
16,3,10000K,High,[0.34627731;1.0;1.0],[0.24609127;1.0;1.0]
16,2,10000K,High,[0.01883364;1.0;1.0],[0.97890701;1.0;1.0]
16,1,10000K,High,[0.71044840;1.0;1.0],[0.64462550;1.0;1.0]
16,1,10000K,Low,[0.71197633;1.0;1.0],[0.64567698;1.0;1.0]
16,3,10000K,Low,[0.35773980;1.0;1.0],[0.24886719;1.0;1.0]
16,2,10000K,Low,[0.01555441;1.0;1.0],[0.98204659;1.0;1.0]
17,2,4000K,High,[0.02933697;1.0;1.0],[0.97860600;1.0;1.0]
17,3,4000K,High,[0.38131853;1.0;1.0],[0.27629640;1.0;1.0]
17,1,4000K,High,[0.67593200;1.0;1.0],[0.64530365;1.0;1.0]
17,3,4000K,Low,[0.37930729;1.0;1.0],[0.26935420;1.0;1.0]
17,1,4000K,Low,[0.70149653;1.0;1.0],[0.64931731;1.0;1.0]
17,2,4000K,Low,[0.02703689;1.0;1.0],[0.97856855;1.0;1.0]
17,3,7000K,Normal,[0.36307419;1.0;1.0],[0.25314611;1.0;1.0]
17,2,7000K,Normal,[0.00941907;1.0;1.0],[0.98845873;1.0;1.0]
17,1,7000K,Normal,[0.68959846;1.0;1.0],[0.65060824;1.0;1.0]
17,2,7000K,High,[0.02016276;1.0;1.0],[0.98421484;1.0;1.0]
17,1,7000K,High,[0.70599935;1.0;1.0],[0.64286780;1.0;1.0]
17,3,7000K,High,[0.35352889;1.0;1.0],[0.25697191;1.0;1.0]
17,1,7000K,Low,[0.69201959;1.0;1.0],[0.64714365;1.0;1.0]
17,2,7000K,Low,[0.02031010;1.0;1.0],[0.98058917;1.0;1.0]
17,3,7000K,Low,[0.34996634;1.0;1.0],[0.25727922;1.0;1.0]
17,3,10000K,Normal,[0.35968978;1.0;1.0],[0.25805359;1.0;1.0]
17,2,10000K,Normal,[0.01326183;1.0;1.0],[0.96976013;1.0;1.0]
17,1,10000K,Normal,[0.71193549;1.0;1.0],[0.64075023;1.0;1.0]
17,1,10000K,High,[0.70814827;1.0;1.0],[0.64092102;1.0;1.0]
17,2,10000K,High,[0.00888874;1.0;1.0],[0.98224072;1.0;1.0]
