ParticipantID,ColorID,LightingTemperature,LightingIntensity,IdealMatch,TextureRenderCentroidUB,TextureRenderCentroidLB
15,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.99705790:0.68834370:0.62316360),(0.97974320:0.71035570:0.62316360)
15,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67848280:0.76720790:0.77535190),(0.65867300:0.78543080:0.77535190)
15,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.36097550:0.75156840:0.66966780),(0.28557380:0.69867890:0.66966780)
16,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.31773250:0.74865810:0.52833680),(0.26114750:0.84197260:0.52833680)
16,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.02116961:0.86799530:0.63249030),(0.00745389:0.83283280:0.63249030)
16,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.69696960:0.70443380:0.43743180),(0.68018480:0.66578510:0.43743180)
16,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.30935420:0.76885470:0.63937660),(0.28377610:0.82279600:0.63937660)
16,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.01664533:0.85298870:0.77068950),(0.01102060:0.83494520:0.77068950)
16,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.69788900:0.67342420:0.51980440),(0.68473760:0.65010730:0.51980440)
16,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.69812480:0.78605150:0.32889570),(0.67748960:0.75134230:0.32889570)
16,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.32610060:0.77154200:0.37348010),(0.25457910:0.89559450:0.37348010)
16,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.01435825:0.91065310:0.43642620),(0.00573084:0.86863400:0.43642620)
